"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4"
649636,2019,10,6,"2019-10-06","17:09:00",3,"OK",40,0,1,0,0,0,0,34.3108,-94.8193,34.3108,-94.8193,0,0,0,0,0,89,0,0,0
649637,2019,10,6,"2019-10-06","17:46:00",3,"TN",47,0,1,0,0,0,0,35.48,-88.73,35.48,-88.73,0,0,0,0,0,113,0,0,0
649638,2019,10,6,"2019-10-06","18:04:00",3,"AR",5,0,1,0,0,0,0,35.27,-93.14,35.27,-93.14,0,0,0,0,0,115,0,0,0
649639,2019,10,6,"2019-10-06","18:26:00",3,"AR",5,0,1.75,0,0,0,0,35.24,-92.95,35.24,-92.95,0,0,0,0,0,115,0,0,0
649640,2019,10,6,"2019-10-06","19:38:00",3,"AR",5,0,1,0,0,0,0,34.86,-91.63,34.86,-91.63,0,0,0,0,0,117,0,0,0
649641,2019,10,6,"2019-10-06","19:48:00",3,"AR",5,0,1.25,0,0,0,0,34.94,-92.21,34.94,-92.21,0,0,0,0,0,119,0,0,0
649642,2019,10,7,"2019-10-07","17:50:00",3,"TN",47,0,0.88,0,0,0,0,35.4828,-88.7094,35.4828,-88.7094,0,0,0,0,0,113,0,0,0
649643,2019,10,8,"2019-10-08","15:35:00",3,"NM",35,0,1,0,0,0,0,33.3,-104.45,33.3,-104.45,0,0,0,0,0,5,0,0,0
649644,2019,10,8,"2019-10-08","17:12:00",3,"NM",35,0,1,0,0,0,0,33.92,-106.8351,33.92,-106.8351,0,0,0,0,0,53,0,0,0
649645,2019,10,9,"2019-10-09","19:54:00",3,"OK",40,0,0.75,0,0,0,0,34.66,-98.63,34.66,-98.63,0,0,0,0,0,31,0,0,0
649769,2019,11,21,"2019-11-21","15:48:00",3,"AZ",4,0,1.25,0,0,0,0,33.41,-112.46,33.41,-112.46,0,0,0,0,0,13,0,0,0
649770,2019,11,21,"2019-11-21","15:50:00",3,"AZ",4,0,1.25,0,0,10000,0,33.44,-112.41,33.44,-112.41,0,0,0,0,0,13,0,0,0
649771,2019,11,21,"2019-11-21","15:52:00",3,"AZ",4,0,1.25,0,0,0,0,33.42,-112.5,33.42,-112.5,0,0,0,0,0,13,0,0,0
649772,2019,11,21,"2019-11-21","16:20:00",3,"AZ",4,0,1,0,0,0,0,33.43,-112.36,33.43,-112.36,0,0,0,0,0,13,0,0,0
649773,2019,11,22,"2019-11-22","21:49:00",3,"AL",1,0,0.88,0,0,0,0,34.52,-87.92,34.52,-87.92,0,0,0,0,0,59,0,0,0
649774,2019,11,22,"2019-11-22","21:50:00",3,"AL",1,0,1,0,0,0,0,34.54,-87.91,34.54,-87.91,0,0,0,0,0,59,0,0,0
649775,2019,11,22,"2019-11-22","22:55:00",3,"AL",1,0,1,0,0,0,0,34.94,-86.98,34.94,-86.98,0,0,0,0,0,83,0,0,0
649776,2019,11,27,"2019-11-27","01:00:00",3,"CA",6,0,0.25,0,0,0,0,37.7745,-122.2369,37.7745,-122.2369,0,0,0,0,0,1,0,0,0
649777,2019,11,27,"2019-11-27","06:00:00",3,"CA",6,0,0.25,0,0,0,0,37.789,-122.4208,37.789,-122.4208,0,0,0,0,0,75,0,0,0
649778,2019,11,27,"2019-11-27","15:00:00",3,"CA",6,0,0.25,0,0,0,0,40.2521,-123.8323,40.2521,-123.8323,0,0,0,0,0,23,0,0,0
649779,2019,11,29,"2019-11-29","18:53:00",3,"OK",40,0,1.25,0,0,10000,0,35.9611,-95.683,35.9611,-95.683,0,0,0,0,0,145,0,0,0
